months_as_customer,age,policy_bind_date,policy_state,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,property_damage,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,policy_deductable_cat,umbrella_limit_cat,bodily_injuries_cat,incident_hour_cat,vehicles_involved_cat,witnesses_cat,policy_csl_cat
235,42,2002-05-26,OH,1253.12,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,YES,,87010,7910,15820,63280,Ford,F150,2002,N,Low,Unknown,Major,Evening,Single Vehicle,Multiple Witnesses,Basic
447,61,1999-05-29,OH,1137.16,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,YES,YES,114920,17680,17680,79560,Audi,A3,2006,N,High,None,Minor,Evening,Multi-Vehicle,Multiple Witnesses,Basic
60,23,1997-11-20,OH,1215.36,MALE,MD,protective-serv,reading,wife,0,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,YES,NO,56520,4710,9420,42390,Saab,95,2000,N,Low,Premium,Minor,Morning,Single Vehicle,No Witness,Premium
121,34,2012-10-26,OH,936.61,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800,2015-01-08,Parked Car,,Minor Damage,,SC,Springfield,NO,NO,7280,1120,1120,5040,Toyota,Highlander,2010,N,Medium,None,Minor,Early Morning,Single Vehicle,Single Witness,Basic
180,38,1998-12-28,OH,1301.13,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300,-55500,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,NO,YES,46200,4200,8400,33600,Dodge,Neon,2003,Y,High,None,None,Afternoon,Single Vehicle,Multiple Witnesses,Standard
473,58,1992-10-19,IN,1131.4,FEMALE,MD,transport-moving,movies,other-relative,55700,0,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,YES,NO,63120,10520,10520,42080,Accura,MDX,1999,Y,High,None,None,Afternoon,Multi-Vehicle,No Witness,Basic
70,26,2005-06-08,OH,1199.44,MALE,College,machine-op-inspct,hiking,own-child,63600,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,,YES,52110,5790,5790,40530,Nissan,Maxima,2012,N,Medium,Unknown,Minor,Early Morning,Multi-Vehicle,Multiple Witnesses,Premium
140,31,2004-11-15,IN,708.64,MALE,High School,machine-op-inspct,reading,unmarried,53500,0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,NO,YES,77880,14160,7080,56640,Suburu,Legacy,2015,N,Low,Unknown,None,Morning,Single Vehicle,Multiple Witnesses,Premium
160,37,2014-12-28,OH,1374.22,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,YES,NO,72930,6630,13260,53040,Accura,TL,2015,N,Low,None,Minor,Evening,Single Vehicle,No Witness,Premium
196,39,1992-08-02,IN,1475.73,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014,N,High,None,Major,Morning,Multi-Vehicle,No Witness,Premium
460,62,2002-06-25,IN,1187.96,MALE,JD,other-service,bungie-jumping,own-child,0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,NO,,47160,0,5240,41920,Suburu,Impreza,2011,N,Medium,Unknown,Minor,Evening,Multi-Vehicle,No Witness,Standard
217,41,2005-11-27,IL,875.15,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,,,37840,0,4730,33110,Accura,RSX,1996,N,High,None,Minor,Afternoon,Multi-Vehicle,Multiple Witnesses,Premium
370,55,1994-05-27,IL,972.18,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,NO,YES,71520,17880,5960,47680,Suburu,Forrestor,2000,Y,High,None,None,Evening,Multi-Vehicle,No Witness,Basic
413,55,1991-02-08,IN,1268.79,MALE,MD,priv-house-serv,chess,own-child,0,-31000,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,,,98160,8180,16360,73620,Dodge,RAM,2011,Y,High,None,Major,Afternoon,Single Vehicle,Multiple Witnesses,Basic
237,40,1996-02-02,IN,883.31,MALE,College,craft-repair,kayaking,husband,0,-53500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,NO,NO,77880,7080,14160,56640,Ford,Escape,2005,N,Medium,None,Minor,Morning,Single Vehicle,Multiple Witnesses,Basic
8,35,2013-12-05,OH,1266.92,MALE,Masters,sales,polo,own-child,0,0,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,NO,YES,71500,16500,11000,44000,Ford,Escape,2006,Y,High,None,Minor,Afternoon,Multi-Vehicle,Multiple Witnesses,Basic
257,43,1990-09-20,IN,1322.1,MALE,High School,prof-specialty,golf,own-child,0,-29200,2015-01-28,Parked Car,,Minor Damage,Police,PA,Arlington,YES,YES,9020,1640,820,6560,Toyota,Camry,2005,N,High,None,Minor,Early Morning,Single Vehicle,Multiple Witnesses,Basic
202,34,2002-07-18,IN,848.07,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200,2015-01-07,Vehicle Theft,,Minor Damage,,VA,Northbrook,YES,,5720,1040,520,4160,Suburu,Forrestor,2003,Y,Low,Premium,Major,Early Morning,Single Vehicle,Single Witness,Basic
224,40,1990-02-08,OH,1291.7,FEMALE,JD,sales,kayaking,not-in-family,0,-55600,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,NO,YES,69840,7760,15520,46560,Dodge,Neon,2009,N,High,None,Minor,Evening,Single Vehicle,No Witness,Basic
241,45,2014-03-04,IL,1104.5,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,NO,NO,91650,14100,14100,63450,Accura,TL,2011,N,High,None,Major,Early Morning,Single Vehicle,Multiple Witnesses,Premium
64,25,2000-02-18,IL,954.16,MALE,Masters,prof-specialty,video-games,husband,53200,0,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,NO,,75600,12600,12600,50400,Toyota,Corolla,2005,N,Medium,None,None,Evening,Multi-Vehicle,No Witness,Standard
166,37,2008-06-19,IL,1337.28,MALE,JD,craft-repair,reading,husband,27500,0,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,NO,,67140,7460,7460,52220,Ford,F150,2006,Y,High,Unknown,Major,Morning,Multi-Vehicle,Multiple Witnesses,Basic
155,35,2003-08-01,IL,1088.34,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,YES,NO,29790,3310,3310,23170,BMW,3 Series,2008,N,Medium,None,Major,Afternoon,Multi-Vehicle,Multiple Witnesses,Premium
114,30,1992-04-04,IL,1558.29,MALE,High School,farming-fishing,video-games,wife,51400,-64000,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,NO,,77110,14020,14020,49070,Suburu,Impreza,2015,N,Medium,None,Minor,Early Morning,Multi-Vehicle,Multiple Witnesses,Basic
149,37,1991-01-13,IL,1415.68,MALE,PhD,prof-specialty,yachting,own-child,0,0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,YES,YES,64800,10800,5400,48600,Audi,A3,1999,N,Low,None,None,Afternoon,Single Vehicle,Single Witness,Premium
147,33,2010-08-08,OH,1334.15,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,YES,YES,53100,10620,5310,37170,Mercedes,C300,1995,Y,Medium,Unknown,Major,Afternoon,Single Vehicle,No Witness,Basic
62,28,2003-03-09,IL,988.45,FEMALE,Masters,protective-serv,camping,unmarried,0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,,YES,60200,6020,6020,48160,Suburu,Forrestor,2004,Y,Medium,None,Minor,Early Morning,Single Vehicle,Single Witness,Basic
289,49,1993-02-03,IL,1222.48,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,2015-01-18,Parked Car,,Minor Damage,,WV,Arlington,NO,YES,5330,1230,820,3280,Suburu,Legacy,2001,N,High,None,Minor,Afternoon,Single Vehicle,Single Witness,Premium
431,54,2002-11-25,IN,1155.55,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,,,62300,12460,6230,43610,Jeep,Wrangler,2007,N,High,None,Major,Early Morning,Multi-Vehicle,No Witness,Premium
199,37,1997-07-27,IN,1262.08,MALE,JD,tech-support,video-games,wife,48500,0,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,,NO,60170,10940,10940,38290,Nissan,Pathfinder,2011,Y,Low,None,None,Early Morning,Single Vehicle,Multiple Witnesses,Standard
79,26,1995-05-08,IL,1451.62,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,NO,,40000,8000,4000,28000,BMW,M5,2010,N,Low,None,Major,Evening,Single Vehicle,Multiple Witnesses,Basic
116,34,2012-08-30,IN,1737.66,MALE,Associate,transport-moving,chess,unmarried,0,-24100,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,,,97080,16180,16180,64720,BMW,X5,2001,Y,Low,None,Minor,Early Morning,Single Vehicle,Single Witness,Standard
37,23,2006-04-30,IL,1475.93,FEMALE,College,prof-specialty,hiking,husband,0,-67400,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,YES,NO,51660,5740,5740,40180,Dodge,RAM,2010,N,Low,None,Minor,Afternoon,Multi-Vehicle,No Witness,Premium
106,30,2003-04-13,OH,538.17,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,NO,NO,51120,5680,5680,39760,Mercedes,E400,2005,N,Low,None,Major,Evening,Single Vehicle,Multiple Witnesses,Standard
269,44,2007-12-05,IL,1081.08,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,YES,,56400,11280,11280,33840,Toyota,Highlander,2014,N,High,None,None,Afternoon,Single Vehicle,Multiple Witnesses,Basic
265,40,2006-08-21,IL,1454.43,FEMALE,MD,protective-serv,yachting,husband,0,0,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,NO,,55120,6890,0,48230,Accura,MDX,2002,N,Medium,None,Major,Afternoon,Multi-Vehicle,Multiple Witnesses,Standard
163,33,1990-01-08,IN,1240.47,FEMALE,Associate,other-service,polo,husband,35300,0,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,YES,,77110,0,14020,63090,Honda,Civic,2014,N,Low,None,Minor,Morning,Multi-Vehicle,Single Witness,Basic
355,47,1990-03-18,OH,1273.7,MALE,College,other-service,kayaking,husband,0,0,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,NO,NO,62800,6280,6280,50240,Audi,A3,2003,Y,High,Unknown,Major,Evening,Multi-Vehicle,Single Witness,Premium
175,34,2008-01-07,IN,1123.87,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,2015-02-26,Vehicle Theft,,Trivial Damage,Police,NY,Arlington,,YES,7290,810,810,5670,Volkswagen,Passat,1995,N,Medium,Unknown,Major,Early Morning,Single Vehicle,No Witness,Premium
192,35,1997-03-10,IL,1245.89,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,NO,,76600,15320,7660,53620,Mercedes,C300,2000,N,Medium,None,None,Evening,Single Vehicle,No Witness,Basic
430,59,2004-01-10,OH,1326.62,MALE,MD,other-service,bungie-jumping,own-child,0,0,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,,YES,81800,16360,8180,57260,Nissan,Pathfinder,1998,N,High,Unknown,None,Evening,Multi-Vehicle,Multiple Witnesses,Standard
91,27,1994-08-20,IL,1073.83,FEMALE,JD,farming-fishing,polo,husband,0,0,2015-01-17,Vehicle Theft,,Trivial Damage,,NY,Arlington,,,7260,1320,660,5280,BMW,M5,2008,N,High,None,Minor,Early Morning,Single Vehicle,Multiple Witnesses,Basic
217,39,2002-06-02,IN,1530.52,MALE,College,armed-forces,basketball,not-in-family,0,0,2015-02-22,Vehicle Theft,,Minor Damage,,WV,Northbend,,YES,4300,430,430,3440,Toyota,Corolla,2000,N,Medium,None,Major,Morning,Single Vehicle,Single Witness,Basic
223,40,1994-04-28,IN,1201.41,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,YES,,70510,12820,12820,44870,Suburu,Forrestor,1999,N,Low,None,Minor,Morning,Multi-Vehicle,No Witness,Basic
195,39,2014-08-17,OH,1393.57,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,2015-02-27,Parked Car,,Minor Damage,Police,VA,Northbend,NO,YES,2640,480,480,1680,Ford,F150,2009,N,Medium,None,None,Early Morning,Single Vehicle,Single Witness,Standard
22,26,2007-08-11,OH,1276.57,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,YES,NO,78900,15780,7890,55230,Chevrolet,Silverado,1995,N,Medium,None,Minor,Early Morning,Single Vehicle,Multiple Witnesses,Basic
439,56,2008-11-20,IN,1082.49,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,,,56430,0,6270,50160,Honda,CRV,2014,N,Low,None,Major,Afternoon,Multi-Vehicle,Multiple Witnesses,Standard
94,32,1995-10-18,IN,1414.74,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,2015-02-22,Parked Car,,Minor Damage,,VA,Riverwood,NO,NO,2400,300,300,1800,Chevrolet,Silverado,2014,N,Medium,None,Minor,Evening,Single Vehicle,Multiple Witnesses,Premium
11,39,1993-05-19,IL,1470.06,MALE,PhD,other-service,yachting,husband,56600,-45800,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,YES,NO,65790,7310,7310,51170,Saab,93,2007,N,High,None,None,Evening,Single Vehicle,Single Witness,Standard
151,36,2005-02-26,OH,870.63,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,NO,NO,62920,11440,5720,45760,Ford,Escape,2000,N,High,None,Minor,Afternoon,Multi-Vehicle,Single Witness,Standard
154,34,1990-02-14,IN,795.23,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,2015-01-10,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,YES,,69480,15440,0,54040,Nissan,Maxima,2014,Y,Low,None,Major,Afternoon,Multi-Vehicle,Single Witness,Basic
245,44,1993-09-30,IL,1168.2,MALE,JD,handlers-cleaners,basketball,husband,69100,0,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,NO,NO,44280,7380,3690,33210,Honda,Accord,1997,N,Medium,None,None,Evening,Multi-Vehicle,Multiple Witnesses,Premium
119,32,2014-06-10,IL,993.51,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,NO,YES,56300,5630,11260,39410,BMW,M5,2011,N,Medium,None,None,Afternoon,Single Vehicle,Multiple Witnesses,Premium
215,42,2008-10-28,OH,1848.81,MALE,JD,transport-moving,video-games,own-child,0,-49000,2015-02-06,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,YES,YES,68520,11420,5710,51390,Suburu,Legacy,2003,Y,Low,None,Major,Evening,Multi-Vehicle,Multiple Witnesses,Premium
295,42,2007-04-24,OH,1641.73,MALE,PhD,sales,chess,not-in-family,62400,0,2015-01-20,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,NO,NO,59130,6570,6570,45990,Ford,Escape,2006,Y,High,Unknown,None,Afternoon,Multi-Vehicle,No Witness,Standard
254,39,1993-12-13,IN,1362.87,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,2015-02-22,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,YES,NO,82320,13720,6860,61740,Dodge,Neon,1995,Y,Low,None,Major,Morning,Multi-Vehicle,Multiple Witnesses,Basic
107,31,2011-08-17,IN,1239.22,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,YES,NO,89700,13800,13800,62100,Audi,A5,2009,Y,Low,Unknown,None,Afternoon,Single Vehicle,Single Witness,Standard
478,64,1990-08-20,OH,835.02,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,NO,NO,33930,0,3770,30160,BMW,X6,1998,N,Low,None,Minor,Afternoon,Multi-Vehicle,Single Witness,Standard
128,30,1994-02-11,OH,1061.33,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,NO,NO,68530,12460,6230,49840,Audi,A5,1997,N,Medium,None,None,Morning,Single Vehicle,Multiple Witnesses,Basic
338,49,1994-02-22,IN,1279.08,MALE,MD,other-service,kayaking,own-child,0,-51500,2015-02-27,Parked Car,,Minor Damage,,NC,Riverwood,NO,,4300,860,860,2580,Ford,F150,2004,N,Medium,None,None,Afternoon,Single Vehicle,Single Witness,Premium
271,42,2011-08-15,OH,1105.49,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000,2015-02-20,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,,,68310,12420,6210,49680,Audi,A3,2003,Y,Low,None,Major,Afternoon,Two Vehicles,Multiple Witnesses,Basic
222,41,1998-11-11,OH,1055.53,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800,-50300,2015-02-08,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,NO,NO,61290,6810,6810,47670,Honda,Civic,1995,Y,High,None,None,Morning,Single Vehicle,Multiple Witnesses,Basic
199,41,1995-12-04,OH,895.83,FEMALE,Associate,sales,paintball,husband,0,0,2015-02-11,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,NO,NO,30100,3010,0,27090,Chevrolet,Malibu,1999,N,Medium,None,Minor,Morning,Single Vehicle,Multiple Witnesses,Standard
215,37,2002-12-28,IN,1632.93,FEMALE,College,transport-moving,golf,not-in-family,0,-42900,2015-02-23,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,NO,YES,57120,9520,4760,42840,Mercedes,C300,2002,N,Low,None,Major,Morning,Multi-Vehicle,No Witness,Basic
192,40,2004-04-15,IL,1405.99,FEMALE,Associate,sales,yachting,wife,0,0,2015-03-01,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,YES,YES,42930,9540,4770,28620,BMW,X6,2005,N,Medium,None,Minor,Evening,Multi-Vehicle,No Witness,Basic
120,35,2001-02-02,OH,1425.54,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0,2015-01-15,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,NO,NO,51210,11380,5690,34140,Ford,Fusion,2010,N,Medium,None,Major,Evening,Multi-Vehicle,No Witness,Basic
270,45,2010-01-12,OH,1038.09,FEMALE,College,handlers-cleaners,golf,husband,0,-19700,2015-01-14,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,NO,YES,89400,14900,7450,67050,Suburu,Legacy,1998,N,Medium,None,Minor,Evening,Multi-Vehicle,Single Witness,Premium
319,47,1992-04-14,IN,1307.11,MALE,College,transport-moving,dancing,not-in-family,0,0,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,NO,,59730,10860,10860,38010,Audi,A3,2005,N,Low,None,None,Evening,Multi-Vehicle,Multiple Witnesses,Standard
194,39,2010-05-21,OH,1489.24,FEMALE,JD,other-service,kayaking,wife,0,-45000,2015-01-24,Vehicle Theft,,Minor Damage,,SC,Springfield,YES,YES,8060,1240,1240,5580,Saab,95,2004,N,Medium,Unknown,Major,Afternoon,Single Vehicle,Multiple Witnesses,Premium
227,38,2013-10-27,OH,976.67,FEMALE,PhD,handlers-cleaners,polo,unmarried,0,0,2015-01-21,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,,,72200,14440,7220,50540,BMW,M5,2013,Y,Low,None,Minor,Afternoon,Single Vehicle,Multiple Witnesses,Premium
137,31,1994-10-12,OH,1340.43,MALE,High School,exec-managerial,paintball,husband,52700,-40600,2015-02-19,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,NO,NO,50800,10160,10160,30480,Accura,MDX,2005,N,High,None,Minor,Morning,Multi-Vehicle,Multiple Witnesses,Standard
244,40,1997-07-04,OH,1267.81,FEMALE,Masters,exec-managerial,video-games,wife,0,0,2015-01-03,Vehicle Theft,,Trivial Damage,,NC,Northbrook,,,6600,660,1320,4620,Accura,TL,2005,N,High,Unknown,Major,Morning,Single Vehicle,Single Witness,Premium
78,29,2011-02-15,IL,1234.2,MALE,Masters,other-service,bungie-jumping,other-relative,0,0,2015-01-29,Vehicle Theft,,Minor Damage,Police,NY,Northbrook,YES,NO,7500,750,1500,5250,Nissan,Maxima,2002,N,Medium,Unknown,Major,Early Morning,Single Vehicle,Multiple Witnesses,Standard
200,35,1994-08-21,IN,1318.06,MALE,High School,exec-managerial,video-games,wife,57300,-80600,2015-01-19,Vehicle Theft,,Trivial Damage,,VA,Hillsdale,NO,YES,6490,1180,1180,4130,Volkswagen,Jetta,2002,N,High,None,None,Afternoon,Single Vehicle,Multiple Witnesses,Standard
284,48,1997-05-15,IN,769.95,MALE,Masters,prof-specialty,movies,not-in-family,0,-44200,2015-01-19,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,,NO,60940,5540,11080,44320,Audi,A3,2013,Y,High,None,Major,Afternoon,Two Vehicles,Multiple Witnesses,Premium
275,41,1996-10-26,OH,1514.72,MALE,High School,transport-moving,board-games,own-child,35700,0,2015-02-02,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,YES,,58300,5830,11660,40810,Suburu,Legacy,2007,N,High,None,None,Afternoon,Multi-Vehicle,Single Witness,Basic
153,34,2006-03-04,IL,873.64,FEMALE,Associate,priv-house-serv,yachting,husband,800,0,2015-01-30,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,NO,,68400,11400,11400,45600,Ford,F150,2007,N,Medium,Unknown,Major,Morning,Multi-Vehicle,Single Witness,Premium
